dataset,mechanism,seed,f1,auc,validation_f1,validation_auc
cora_ml,IC,127,0.6274135744242697,0.9570781215480497,0.6354657668371413,0.959059247251456
cora_ml,LT,127,0.8934740816630663,0.9949886230755267,0.8939669627825451,0.9953632383919488
cora_ml,USE,127,0.5648745745761877,0.9396251454656235,0.5694436554513861,0.9404572440121637
dolphins,IC,127,0.7701143790849673,0.9732207792207792,0.7800722394220847,0.979064935064935
dolphins,LT,127,0.9148018648018649,0.997090909090909,0.913846153846154,0.9948831168831169
dolphins,USE,127,0.5374223437381332,0.925142857142857,0.5929493811254478,0.9324155844155845
facebook_company,IC,127,0.6001930802368038,0.946757515914631,0.6030810080364609,0.9477321670373259
facebook_company,LT,127,0.9104010220785522,0.9966398526983556,0.9069120368075649,0.996430994425502
facebook_company,USE,127,0.5783154173595413,0.9422237043078182,0.5791416895118809,0.9423909548622458
netscience,IC,127,0.8427545843216242,0.9926284690152616,0.8367918562651557,0.9917696705809913
netscience,LT,127,0.7414033249397101,0.982810639046488,0.7596265031283298,0.9847877908255267
netscience,USE,127,0.7668880611301476,0.9839235607160134,0.7555451728496576,0.9822865593525971
power_grid,IC,127,0.8770631630324679,0.994199589234677,0.8733364879015644,0.9940766595327998
power_grid,LT,127,0.686642025399923,0.966329748224485,0.7090102694695282,0.9703283396265852
power_grid,USE,127,0.5729278122101691,0.9415819554065168,0.5792286817566321,0.9423591492977458
